in_dtype,acc_dtype,out_dtype,sf_dtype,sf_vec_size,a_major,b_major,c_major,mma_m,mma_n,cta_m,cta_n,cluster_m,cluster_n,m,n,k,runtime_us
fp16,fp32,fp16,,0,k,k,n,128,192,64,192,2,1,4096,1536,16384,193.74079704284668
fp16,fp32,fp16,,0,k,k,n,128,192,64,192,2,2,4096,1536,16384,189.23519849777222
fp16,fp32,fp16,,0,k,k,n,128,256,64,256,2,1,4096,1536,16384,183.50720405578613
fp16,fp32,fp16,,0,k,k,n,128,256,64,256,2,2,4096,1536,16384,181.86880350112915
fp16,fp32,fp16,,0,k,k,n,256,64,128,64,2,1,4096,1536,16384,278.52799892425537
fp16,fp32,fp16,,0,k,k,n,256,64,128,64,2,2,4096,1536,16384,264.6080017089844
fp16,fp32,fp16,,0,k,k,n,256,128,128,128,2,1,4096,1536,16384,182.27200508117676
fp16,fp32,fp16,,0,k,k,n,256,128,128,128,2,2,4096,1536,16384,181.04959726333618
fp16,fp32,fp16,,0,k,k,n,256,192,128,192,2,1,4096,1536,16384,178.17599773406982
fp16,fp32,fp16,,0,k,k,n,256,192,128,192,2,2,4096,1536,16384,176.53759717941284
fp16,fp32,fp16,,0,k,k,n,256,256,128,256,2,1,4096,1536,16384,228.55679988861084
fp16,fp32,fp16,,0,k,k,n,256,256,128,256,2,2,4096,1536,16384,224.05118942260742
fp16,fp32,fp16,,0,k,k,n,128,64,64,64,2,1,1536,16384,4096,319.28319931030273
fp16,fp32,fp16,,0,k,k,n,128,64,64,64,2,2,1536,16384,4096,320.5120086669922
fp16,fp32,fp16,,0,k,k,n,128,128,64,128,2,1,1536,16384,4096,222.82240390777588
fp16,fp32,fp16,,0,k,k,n,128,128,64,128,2,2,1536,16384,4096,209.3183994293213
fp16,fp32,fp16,,0,k,k,n,128,192,64,192,2,1,1536,16384,4096,183.91679525375366
fp16,fp32,fp16,,0,k,k,n,128,192,64,192,2,2,1536,16384,4096,190.05440473556519
fp16,fp32,fp16,,0,k,k,n,128,256,64,256,2,1,1536,16384,4096,178.9952039718628
fp16,fp32,fp16,,0,k,k,n,128,256,64,256,2,2,1536,16384,4096,183.50720405578613
fp16,fp32,fp16,,0,k,k,n,256,64,128,64,2,1,1536,16384,4096,262.55359649658203
fp16,fp32,fp16,,0,k,k,n,256,64,128,64,2,2,1536,16384,4096,253.54239940643308
fp16,fp32,fp16,,0,k,k,n,256,128,128,128,2,1,1536,16384,4096,185.95839738845825
fp16,fp32,fp16,,0,k,k,n,256,128,128,128,2,2,1536,16384,4096,181.4527988433838
fp16,fp32,fp16,,0,k,k,n,256,192,128,192,2,1,1536,16384,4096,166.29760265350342
fp16,fp32,fp16,,0,k,k,n,256,192,128,192,2,2,1536,16384,4096,177.3568034172058
fp16,fp32,fp16,,0,k,k,n,256,256,128,256,2,1,1536,16384,4096,182.27200508117676
fp16,fp32,fp16,,0,k,k,n,256,256,128,256,2,2,1536,16384,4096,176.9536018371582
fp16,fp32,fp16,,0,k,k,n,128,64,64,64,2,1,4096,8192,7168,772.0960140228271
fp16,fp32,fp16,,0,k,k,n,128,64,64,64,2,2,4096,8192,7168,706.1503887176514
fp16,fp32,fp16,,0,k,k,n,128,128,64,128,2,1,4096,8192,7168,476.16000175476074
fp16,fp32,fp16,,0,k,k,n,128,128,64,128,2,2,4096,8192,7168,467.9679870605469
fp16,fp32,fp16,,0,k,k,n,128,192,64,192,2,1,4096,8192,7168,408.16640853881836
fp16,fp32,fp16,,0,k,k,n,128,192,64,192,2,2,4096,8192,7168,442.5727844238281
fp16,fp32,fp16,,0,k,k,n,128,256,64,256,2,1,4096,8192,7168,375.8016109466553
fp16,fp32,fp16,,0,k,k,n,128,256,64,256,2,2,4096,8192,7168,409.8048210144043
